GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
GRB 250808A,GRB250808768,0.00000,95,2025-08-08 18:22:59.362,<a href=yr25/GRB250808768.html>details</a>,63.5525,-22.9041,10.799999999999999,"Swift, XRT              ",-1,-1,-1,-1,,
,GRB250804960,0.89785,95,2025-08-04 23:00:18.958,<a href=yr25/GRB250804960.html>details</a>,1.37,-68.7,172.79999999999998,"Fermi, GBM              ",,,,,,unexamined
GRB 250804A,GRB250804485,0.00000,95,2025-08-04 11:35:47.639,<a href=yr25/GRB250804485.html>details</a>,114.09,42.02,1159.2,"Fermi, GBM              ",,,,,,
GRB 250728A,GRB250728393,0.00004,95,2025-07-28 09:23:34.052,<a href=yr25/GRB250728393.html>details</a>,246.05,21.76,1934.4,"Fermi, GBM              ",,,,,,
GRB 250725A,GRB250725077,1.00000,95,2025-07-25 01:49:17.207,<a href=yr25/GRB250725077.html>details</a>,35.385,-82.784,3.0,"Swift, XRT              ",3,3,401.3776782045761,1337.8418200666217,,Data Gap
GRB 250723B,GRB250723615,0.00000,94,2025-07-23 14:43:22.841,<a href=yr25/GRB250723615.html>details</a>,358.01,50.61,188.4,"Fermi, GBM              ",,,,,,
GRB 250723A,GRB250723551,0.00000,94,2025-07-23 13:10:47.510,<a href=yr25/GRB250723551.html>details</a>,65.35,38.41,371.40000000000003,"Fermi, GBM              ",,,,,,
GRB 250722A,GRB250722465,0.29548,94,2025-07-22 11:06:53.881,<a href=yr25/GRB250722465.html>details</a>,313.45,-63.35,757.8000000000001,"Fermi, GBM              ",,,,,,unexamined
GRB 250721A,GRB250721401,0.00000,94,2025-07-21 09:35:35.454,<a href=yr25/GRB250721401.html>details</a>,82.805,-25.592,19.2,MAXI                    ,-1,-1,-1,-1,,
GRB 250720B,GRB250720790,-1.00000,94,2025-07-20 18:54:58.331,,92.04,-80.65,331.2,Known Source            ,,,,,,
GRB 250720A,GRB250720343,0.00000,94,2025-07-20 08:11:26.825,<a href=yr25/GRB250720343.html>details</a>,69.19,20.87,268.8,"Fermi, GBM              ",,,,,,
GRB 250718B,GRB250718296,0.00000,94,2025-07-18 07:03:28.445,<a href=yr25/GRB250718296.html>details</a>,213.53,1.67,669.0,"Fermi, GBM              ",,,,,,
GRB 250717B,GRB250717572,0.00000,94,2025-07-17 13:42:03.872,<a href=yr25/GRB250717572.html>details</a>,44.1179,26.3789,3.0,"Swift, BAT              ",-1,-1,-1,-1,,
